C8G'
C9'
C9'
MRPL49'
MRPL49'
MRPL49'
ZNHIT2'
ZNHIT2'
MPPED2'
C11orf9'
C11orf9'
C11orf10'
C11orf10'
DAGLA'
DAGLA'
C16orf3'
C16orf3'
FMNL1'
FMNL1'
PTTG1IP'
PTTG1IP'
C21orf2'
C21orf2'
TMEM50B'
TMEM50B'
CA1'
CA1'
CA1'
CA2'
CA2'
CA3'
CA3'
CA4'
SERPINA6'
CBL'
CBL'
CBLB'
CBLB'
CBLN1'
CBLN1'
SERPINH1'
CBR1'
CBR1'
CBR3'
CBR3'
CBS'
CBS'
CCIN'
CCIN'
CCBL1'
CCBL1'
CCK'
CCK'
CCKBR'
CCKBR'
CCKBR'
CCNA2'
CCNA2'
CCNB1'
CCNB1'
CCND2'
CCND2'
CCND2'
CCND3'
CCNE1'
CCNE1'
CCNF'
CCNF'
CCNG2'
CCNG2'
CCNG2'
CCNH'
CCNH'
CCNT1'
CCNT1'
CCNT1'
CD1A'
CD1A'
CD1B'
CD1B'
CD1C'
CD1C'
CD1D'
CD1D'
CD1E'
CD1E'
CD2'
CD2'
CD3D'
CD3E'
CD3E'
CD3G'
CD3G'
CD247'
CD247'
CD4'
CD4'
CD5'
CD5'
CD5L'
CD5L'
CD6'
CD6'
CD7'
CD7'
CD8A'
CD8A'
CD8A'
CD8A'
CD9'
CD9'
CD19'
CD19'
MS4A1'
MS4A1'
MS4A3'
CD22'
CD22'
CD24'
CD24'
CD27'
CD27'
CD28'
CD28'
CD80'
CD80'
CD86'
CD86'
CD86'
TNFRSF8'
TNFSF8'
TNFSF8'
SIGLEC6'
SIGLEC6'
SIGLEC6'
SCARB1'
SCARB2'
SCARB2'
CD37'
CD38'
CD38'
ENTPD2'
ENTPD3'
ENTPD3'
ENTPD5'
ENTPD5'
CD40'
CD40'
CD40'
CD40LG'
CD40LG'
CD48'
CD48'
CD53'
CD53'
CD69'
CD70'
CD70'
CD72'
CD72'
CD81'
CD81'
CD81'
CDA'
CDA'
LRBA'
LRBA'
CDC5L'
CDC5L'
SEPT7'
SEPT7'
SEPT7'
CDC6'
CDC6'
CDC20'
CDC20'
CDC25C'
CDC25C'
CDC34'
CDC34'
CDH1'
CDH1'
CDH2'
CDH2'
CDH3'
CDH3'
CDH4'
CDH4'
CDH6'
CDH8'
CDH8'
CDH9'
CDH9'
CDH10'
CDH10'
CDH11'
CDH11'
CDH12'
CDH12'
CDH13'
CDH13'
CDH13'
CDH15'
CDH15'
CDH16'
CDH16'
CDH18'
CDH18'
CDK2'
CDK2'
CDK3'
CDK3'
CDK4'
CDK5'
CDK5'
CDK7'
CDK7'
CDK8'
CDK8'
CDK9'
CDK9'
CDK9'
CDKN1A'
CDKN1A'
CDKN1B'
CDKN1B'
CDKN2A'
CDKN2A'
CDKN2D'
CDKN2D'
CDKN3'
CDO1'
CDO1'
CDR1'
CDS1'
CDS1'
CDSN'
CDSN'
CD52'
CD52'
CDX1'
CDX1'
CDX2'
CISH'
TBCB'
TBCB'
TBCB'
CKM'
CKM'
CKMT1B'
ERCC8'
ERCC8'
CKS2'
CKS2'
AP1S1'
AP1S1'
CLC'
CLC'
CLCN1'
CLCN1'
CLCN2'
CLCN2'
CLCN4'
CLCN4'
CLCN4'
CLCN6'
CLCN6'
CLCN6'
CLCN6'
CLCN6'
CLCN6'
CLCNKB'
CLCNKB'
CLIC1'
CLIC1'
TPP1'
TPP1'
CLN5'
CLN5'
CLNS1A'
CLNS1A'
CLPS'
CLPS'
CLPTM1'
CLPTM1'
CLTB'
CLTB'
CLTC'
CLTC'
CMA1'
CMA1'
CCR1'
CCR1'
CCR3'
CCR4'
CCR4'
CCR5'
CCR6'
CCR6'
CCR6'
CCR7'
CCR7'
CCR8'
CCR8'
CCBP2'
CCBP2'
LTB4R'
LTB4R'
LTB4R'
ABCC2'
ABCC2'
CNGA2'
CNGA2'
CNGA2'
CNN1'
CNN3'
CNN3'
CNR2'
CNR2'
CNTF'
CNTF'
CNTN1'
CNTN1'
COL1A1'
COL1A1'
COL1A2'
COL1A2'
COL2A1'
COL2A1'
COL3A1'
COL3A1'
COL3A1'
